Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
26:41:00,109,145,62,502,34,263,277,152
26:42:00,105,141,60,493,34,261,273,153
26:43:00,105,142,60,490,34,256,268,148
26:44:00,107,145,62,499,34,263,276,153
26:45:00,107,144,61,496,33,262,275,151
26:46:00,107,145,62,500,34,264,276,152
26:47:00,108,146,62,503,35,265,278,152
26:48:00,108,145,62,501,34,264,277,152
26:49:00,107,146,61,499,34,263,276,151
26:50:00,108,144,61,502,34,265,277,152
26:51:00,108,146,61,500,34,264,276,153
26:52:00,107,145,61,503,34,267,277,152
26:53:00,106,141,59,489,34,260,267,147
26:54:00,105,141,60,489,34,260,269,147
26:56:00,108,143,61,499,34,264,276,150
26:57:00,108,144,61,500,34,263,274,150
26:58:00,107,144,61,499,34,266,273,150
26:59:00,107,144,61,500,34,264,274,151
27:00:00,107,144,62,499,34,265,278,151
27:01:00,107,144,62,498,34,266,276,150
27:02:00,108,145,61,501,34,266,274,153
27:03:00,108,145,62,502,35,265,276,151
27:04:00,108,146,61,502,34,265,277,151
27:05:00,108,144,61,502,35,267,274,150
27:06:00,108,144,62,503,35,266,276,151
27:07:00,108,145,61,503,34,269,275,150
27:08:00,108,146,62,504,35,267,277,151
27:09:00,108,143,62,502,34,270,280,152
27:10:00,109,145,61,505,35,269,278,151
27:11:00,106,142,61,494,35,263,273,147
27:23:00,106,142,61,497,34,263,273,148
27:24:00,108,143,61,497,34,264,274,149
27:25:00,107,143,61,499,34,266,274,149
27:26:00,108,144,61,499,34,266,278,150
27:27:00,109,144,61,501,34,266,276,149
27:28:00,108,144,61,500,34,266,275,150
27:29:00,107,143,61,499,35,266,276,150
27:30:00,108,144,60,501,35,265,274,149
27:31:00,107,143,61,500,34,265,274,148
27:32:00,107,142,60,496,34,264,273,148
27:33:00,107,144,61,502,35,266,276,149
27:34:00,108,142,61,501,34,267,274,148
27:35:00,107,144,61,501,34,266,276,149
27:36:00,107,142,61,498,34,264,275,148
27:37:00,107,142,60,499,34,266,275,148
27:38:00,107,143,61,500,34,263,272,147
27:39:00,107,144,61,500,35,268,276,149
27:40:00,107,143,61,500,35,266,276,148
27:41:00,107,142,60,500,34,266,274,146
27:42:00,107,142,60,498,34,263,273,147
27:43:00,107,142,60,498,34,265,273,147
27:44:00,107,142,61,499,34,264,274,148
27:45:00,108,142,61,496,33,263,273,147
27:46:00,107,143,62,499,34,266,274,148
27:47:00,107,144,61,499,35,265,274,148
27:48:00,107,143,61,498,33,261,273,148
27:49:00,108,143,60,498,34,264,275,148
27:50:00,108,143,60,497,34,263,274,149
27:51:00,106,142,60,497,34,264,271,147
27:52:00,107,144,60,500,34,266,278,149
28:04:00,112,180,80,522,37,290,333,198
28:05:00,112,178,80,524,38,289,327,190
28:06:00,110,171,77,516,36,286,324,186
28:07:00,111,174,78,519,37,286,321,191
28:08:00,113,174,79,523,38,288,327,195
28:09:00,114,187,86,526,37,295,338,212
28:10:00,113,192,89,527,38,303,335,208
28:11:00,117,212,101,543,40,319,378,263
28:12:00,117,198,94,545,40,321,380,253
28:13:00,116,188,89,539,39,308,361,228
28:14:00,120,236,116,555,41,336,372,246
28:15:00,122,239,124,561,42,350,389,272
28:16:00,122,232,121,562,43,348,379,262
28:17:00,125,244,131,567,43,354,379,254
28:18:00,129,285,164,583,46,391,396,293
28:19:00,132,291,179,595,49,413,405,304
28:20:00,134,290,188,600,49,420,402,283
28:21:00,135,290,191,602,49,422,388,265
28:22:00,137,292,195,605,49,426,375,250
28:23:00,139,295,200,605,48,426,373,256
28:24:00,139,296,203,607,49,431,378,258
28:25:00,140,293,203,608,49,433,377,258
28:26:00,141,295,205,609,50,440,377,243
28:27:00,141,293,204,610,49,444,372,236
28:28:00,142,293,207,610,50,448,360,226
28:29:00,142,294,207,612,50,456,355,224
28:30:00,142,293,209,613,50,460,345,213
28:31:00,143,293,210,613,50,466,343,212
28:32:00,140,290,209,610,50,470,338,215
28:33:00,142,288,207,612,49,467,334,211
